name,abv,image_url
SIPSMITH London Dry Gin,41.6%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/SIPSMITH-London-Dry-Gin.png"
SOUTHERN COMFORT Original,35%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/SOUTHERN-COMFORT-Original.png"
BOWMORE 12 Year Old,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/BOWMORE-12-YEAR-OLD.jpg"
RAWSON RETREAT Private Release Shiraz Cabernet,13.5%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/RAWSON-RETREAT-Private-Release-Shiraz-Cabernet-2017-1.jpg"
ABSOLUT Vodka,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/ABSOLUT-Vodka.jpg"
SUIGEI Tokubetsu Junmai,15.5%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/SUIGEI-Tokubetsu-Junmai.jpg"
COPENHAGEN Sparkling Tea BLA Non Alcohol,0%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/COPENHAGEN-Sparkling-Tea-BLA-Non-Alcohol.jpg"
SINGLETON Glen Ord 12 Year Old,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/SINGLETON-of-Glen-Ord-12-Year-Old-.jpg"
Martell VSOP Red Barrels,40%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Martell-VSOP-Red-Barrels-1.jpg"
Hibiki Suntory Whisky,43%,"https://whisky.my/cdn-cgi/image/width=1000,height=1000,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/Hibiki-Suntory.jpg"
